start	end	pos_1	strand	genes	promoter
122035	122035	122035	+	aroP; pdhR	
122970	122970	122970	+	aceE; tp2	
127718	127718	127718	+	lpd	
131520	131520	131520	+	yacH; acnB	
134340	134340	134340	+	yacL	
136506	136506	136506	-	speE; yacC; cueO	
136939	136939	136939	-	speE; yacC; cueO	
137046	137046	137046	+	speE; yacC; cueO	
141262	141262	141262	-	gcd; hpt	
141361	141361	141361	+	gcd; hpt	
142702	142702	142702	-	can; yadG	
146723	146723	146723	-	panD; rpnC	
149629	149629	149629	-	panB	
159171	159171	159171	-	pcnB	
159389	159389	159389	-	pcnB; gluQ	
161376	161376	161376	-	dksA; sfsA; hrpB; thpR	
162001	162001	162001	+	sfsA; hrpB; thpR	
162052	162052	162052	-	sfsA; hrpB; thpR	
167427	167427	167427	+	fhuA	
169125	169125	169125	+	fhuA; fhuC	
174934	174934	174934	+	hemL; clcA; yadX	
174990	174990	174990	-	hemL; clcA; yadX	
179180	179180	179180	-	dgt; mtn; btuF	
179199	179199	179199	+	dgt; mtn; btuF	
180670	180670	180670	+	dgt; degP	
181047	181047	181047	-	degP	
182448	182448	182448	+	cdaR	
183915	183915	183915	-	yaeH	
184192	184192	184192	-	yaeH	
185975	185975	185975	-	dapD	
186144	186144	186144	+	dapD; glnD	
189625	189625	189625	-	map; rpsB; tff	
189641	189641	189641	+	map; rpsB; tff	
189713	189713	189713	+	map; rpsB; tff	
208277	208277	208277	+	dnaE; accA	
209659	209659	209659	+	ldcC	
212307	212307	212307	+	yaeR; tilS	
214196	214196	214196	-	arfB; yaeP; rof; yaeQ	
214197	214197	214197	+	arfB; yaeP; rof; yaeQ	
214270	214270	214270	+	arfB; yaeP; rof; yaeQ	
214622	214622	214622	+	nlpE; arfB; yaeP; rof; yaeQ	
218836	218836	218836	-	proS; trmO	
220072	220072	220072	-	rcsF; trmO	
222713	222713	222713	-	metN; gmhB	
222807	222807	222807	+	metN; gmhB	
223486	223486	223486	+	gmhB; rrsH	
223595	223595	223595	+	gmhB; rrsH	
229135	229135	229135	+	dkgB; aspU; rrfH	
230983	230983	230983	-	yafC; yafD	
231073	231073	231073	+	yafC; yafD	
233981	233981	233981	-	mltD; ykfO	
234461	234461	234461	+	mltD; ykfO; gloB; yafS	
234786	234786	234786	+	ykfO; gloB; yafS	
234955	234955	234955	-	ykfO; gloB; yafS	
235938	235938	235938	+	dnaQ; rnhA	
236005	236005	236005	-	dnaQ; rnhA	
236022	236022	236022	+	dnaQ; rnhA	
236910	236910	236910	+	aspV; yafT	
240215	240215	240215	-	yafV; ivy	
240320	240320	240320	+	yafV; ivy	
243345	243345	243345	-	fadE; gmhA	
243513	243513	243513	+	fadE; gmhA	
245883	245883	245883	-	dpaA; yafQ; dinJ	
246532	246532	246532	-	dpaA; yafQ; dinJ; yafL	
250504	250504	250504	+	lfhA; lafU; dinB	
251974	251974	251974	+	yafN; yafO; yafP	
255807	255807	255807	-	gpt; pepD; frsA	
255919	255919	255919	+	gpt; pepD; frsA	
256503	256503	256503	+	gpt; pepD; frsA	
257811	257811	257811	+	insB9	
260150	260150	260150	-	phoE; proB	
260238	260238	260238	+	phoE; proB	
262837	262837	262837	+	thrW; ykfN	
263079	263079	263079	-	thrW; ykfN; ykfI	
275288	275288	275288	+	insH1; mmuP	
280818	280818	280818	-	yagB; insX	
290340	290340	290340	-	argF; ykgS; argL	
295620	295620	295620	-	ykgV; yagN	
297063	297063	297063	+	nc1; intF; yagP	
302958	302958	302958	+	paoA; yagU	
312803	312803	312803	-	ykgO; ykgR; ykgL; ykgM	
312809	312809	312809	+	ykgO; ykgR; ykgL; ykgM	
313285	313285	313285	-	ykgO; ykgR; ykgP; ykgM	
313375	313375	313375	+	ykgR; ykgP; ykgM	
317363	317363	317363	+	ykgQ; ykgA	
320032	320032	320032	-	rclA; rclR	
320135	320135	320135	+	rclA; rclR	
321485	321485	321485	+	ykgE	
329360	329360	329360	-	betB; betI; betT	
329422	329422	329422	+	betB; betI; betT	
332047	332047	332047	+	pdeL; yahV	
342818	342818	342818	+	yahK	
345253	345253	345253	+	xtpA; yahM	
346433	346433	346433	+	yahN; yahO	
348468	348468	348468	-	prpR; prpB	
354885	354885	354885	+	codB	
362184	362184	362184	+	lacA; lacY	
363200	363200	363200	-	lacY	
368535	368535	368535	-	mhpR; mhpA	
376465	376465	376465	+	mhpT; yaiL	
379918	379918	379918	-	frmA; frmR	
380833	380833	380833	-	insCD1; yaiO; insC1	
389753	389753	389753	-	hemB; ykiB	
393225	393225	393225	+	insEF2; insF2; insE2	
393382	393382	393382	-	insEF2; insF2; insE2	
396343	396343	396343	+	sbmA; ampH	
396431	396431	396431	-	sbmA; ampH	
399383	399383	399383	-	yaiY; yaiZ	
399445	399445	399445	+	yaiY; yaiZ	
400992	400992	400992	-	ddlA; phoA; iraP	
401320	401320	401320	+	ddlA; phoA; iraP	
401730	401730	401730	+	phoA; iraP	
403232	403232	403232	+	dgcC; psiF	
405685	405685	405685	-	aroL; proC; yaiI	
405742	405742	405742	+	aroL; proC; yaiI	
406279	406279	406279	+	aroL; proC; yaiA; yaiI	
406955	406955	406955	+	aroL; aroM; yaiA	
407280	407280	407280	+	aroM; yaiA	
408575	408575	408575	+	ppnP; ykiD; ykiA	
410049	410049	410049	-	mak; rdgC	
410054	410054	410054	+	mak; rdgC	
412508	412508	412508	-	araJ	
412583	412583	412583	-	araJ	
416204	416204	416204	+	sbcC; sbcD	
416975	416975	416975	-	phoB; sbcD	
417102	417102	417102	+	phoB; phoR; sbcD	
419420	419420	419420	+	brnQ	
420697	420697	420697	+	brnQ; proY	
422487	422487	422487	+	malZ	
424986	424986	424986	+	queA; acpH	
425127	425127	425127	-	queA; acpH	
426056	426056	426056	+	queA; tgt	
426455	426455	426455	+	tgt	
426777	426777	426777	+	tgt; yajC	
427116	427116	427116	+	secD; tgt; yajC	
432091	432091	432091	-	tsx; yajI	
432184	432184	432184	-	tsx; yajI	
432875	432875	432875	-	nrdR; ribD; yajI	
432976	432976	432976	+	nrdR; ribD; yajI	
438163	438163	438163	+	yajO	
438164	438164	438164	-	yajO	
438306	438306	438306	-	yajO	
441470	441470	441470	+	ispA; xseB; thiI	
441545	441545	441545	-	ispA; xseB; thiI	
444417	444417	444417	+	yajL; panE; yajQ	
444559	444559	444559	-	panE; yajQ	
444571	444571	444571	+	panE; yajQ	
444604	444604	444604	+	panE; yajQ	
444659	444659	444659	+	panE; yajQ	
451652	451652	451652	-	cyoA	
454208	454208	454208	-	bolA; yajG; ampG	
454352	454352	454352	+	bolA; tig; yajG	
454434	454434	454434	+	bolA; tig; yajG	
454994	454994	454994	+	bolA; tig	
456578	456578	456578	+	clpP	
457337	457337	457337	+	clpP; clpX	
458814	458814	458814	+	lon; sraA	
461332	461332	461332	+	hupB; ppiD	
464349	464349	464349	+	ybaV; fadM	
465560	465560	465560	-	queC	
467347	467347	467347	-	ybaE; cof	
475200	475200	475200	-	tesB; ybaY	
475307	475307	475307	+	tesB; ybaY	
476423	476423	476423	+	ybaA; ffs; ybaZ	
476617	476617	476617	+	ybaA; ffs; ybaZ	
478641	478641	478641	-	pdeB; ylaC	
479287	479287	479287	-	maa; pdeB; ylaC	
479943	479943	479943	-	hha; tomB; maa; ylaC	
480425	480425	480425	-	hha; tomB; maa	
480500	480500	480500	-	hha; tomB; maa	
480794	480794	480794	-	hha; tomB	
480880	480880	480880	-	hha; tomB	
485727	485727	485727	+	acrA; acrR	
486085	486085	486085	-	acrA; acrR; mscK	
486491	486491	486491	+	acrR; mscK	
490032	490032	490032	-	priC; ybaM	
490860	490860	490860	+	apt; priC; ybaM; ybaN	
490887	490887	490887	-	apt; priC; ybaM; ybaN	
491311	491311	491311	+	apt; dnaX; priC; ybaN	
492057	492057	492057	+	apt; dnaX	
493878	493878	493878	+	dnaX; recR; ybaB	
495077	495077	495077	+	htpG; recR	
497134	497134	497134	+	adk	
498032	498032	498032	+	hemH	
500098	500098	500098	+	aes; gsk	
503294	503294	503294	-	ybaL	
504884	504884	504884	+	ushA; fsr	
507205	507205	507205	+	ybaK; chiX	
508096	508096	508096	-	ybaP; ybaQ	
508183	508183	508183	+	ybaP; ybaQ	
511411	511411	511411	-	copA; glsA	
511574	511574	511574	+	copA; glsA	
513702	513702	513702	+	ybaT; cueR	
513740	513740	513740	+	ybaT; cueR	
515824	515824	515824	-	qmcA; fetA; fetB	
515893	515893	515893	+	qmcA; fetA; fetB	
519165	519165	519165	+	tesA; ybbA; ybbO	
519390	519390	519390	+	tesA; ybbA; ybbO	
519954	519954	519954	-	tesA; ybbA; ybbP	
532277	532277	532277	-	allS; allA; allR	
532403	532403	532403	+	allS; allA; allR	
544865	544865	544865	-	allC	
553142	553142	553142	-	purE; purK; lpxH	
554557	554557	554557	-	cysS; ppiB; lpxH	
554578	554578	554578	+	cysS; ppiB; lpxH	
557780	557780	557780	-	folD; sfmA	
566080	566080	566080	-	intD; insEF3; peaD; xisD; G6294; exoD; insE3	
576859	576859	576859	+	essD; rrrD	
576870	576870	576870	-	essD; rrrD	
577943	577943	577943	-	rzoD; essD; rrrD; rzpD	
578920	578920	578920	-	rzoD; borD; ybcV	
582769	582769	582769	-	ybcY; tfaX	
582816	582816	582816	-	ybcY; tfaX	
583597	583597	583597	+	appY; ybcY; tfaX	
585663	585663	585663	-	ompT	
595460	595460	595460	-	cusS; cusR; cusC	
601930	601930	601930	+	pheP	
604684	604684	604684	-	nfsB; ybdG	
605452	605452	605452	-	nfsB; ybdG; ybdF; ybdJ	
606201	606201	606201	-	nfsB; ybdF; ybdJ	
607407	607407	607407	-	b4700; sokE; hokE; ybdK; insL2	
612638	612638	612638	-	fepA; fes	
629857	629857	629857	+	cstA; entH	
633522	633522	633522	-	hcxA; ybdL	
633558	633558	633558	+	hcxA; ybdL	
638630	638630	638630	+	ahpC; dsbG	
638691	638691	638691	+	ahpC; dsbG	
638780	638780	638780	-	ahpC; dsbG	
638882	638882	638882	+	ahpC; dsbG	
641902	641902	641902	-	uspG; ybdR	
641925	641925	641925	+	uspG; ybdR	
645033	645033	645033	-	rna	
645270	645270	645270	-	rna; citT	
657216	657216	657216	+	cspE; pagP; crcB	
657250	657250	657250	+	cspE; pagP; ybeM; crcB	
657965	657965	657965	+	cspE; ybeM; crcB	
657997	657997	657997	-	cspE; ybeM; crcB	
658874	658874	658874	+	tatE	
660290	660290	660290	-	lipA	
662311	662311	662311	-	lipB; ybeD	
665331	665331	665331	-	mrdB; rlpA	
669071	669071	669071	-	rlmH; rsfS	
674844	674844	674844	-	leuS; ybeL	
674975	674975	674975	-	leuS; ybeL	
674994	674994	674994	+	leuS; ybeL	
687886	687886	687886	-	gltI	
694991	694991	694991	-	miaB; ubiF	
695013	695013	695013	+	miaB; ubiF	
695018	695018	695018	-	miaB; ubiF	
699221	699221	699221	-	asnB	
702007	702007	702007	-	nagA; nagC	
703705	703705	703705	-	nagB; nagE	
703841	703841	703841	+	nagB; nagE	
706064	706064	706064	+	glnS	
710828	710828	710828	-	fldA; fur; uof	
711521	711521	711521	-	fldA; ybfE; uof	
711950	711950	711950	-	fldA; ybfE	
712852	712852	712852	+	ybfF; pgm; seqA	
712999	712999	712999	-	ybfF; pgm; seqA	
724409	724409	724409	-	kdpC; kdpD	
724738	724738	724738	-	kdpC; kdpD	
728837	728837	728837	-	kdpA; rhsC; ybfA; kdpF	
729073	729073	729073	+	kdpA; rhsC; ybfA; kdpF	
733460	733460	733460	+	rhsC; ybfB; ybfO; G8203	
738981	738981	738981	+	phr; ybgA	
742668	742668	742668	-	dtpD; ybgI	
742715	742715	742715	+	dtpD; ybgI	
754795	754795	754795	-	gltA; sdhC; sdhD; ybgU; ybgV	
754956	754956	754956	+	gltA; sdhC; sdhD; ybgU; ybgV	
758599	758599	758599	+	sucA; b0725	
765898	765898	765898	-	mngR; mngA	
771171	771171	771171	+	cydA	
771370	771370	771370	+	cydA	
774712	774712	774712	+	tolQ; ybgC; ybgE; cydX	
777712	777712	777712	+	tolB	
780512	780512	780512	+	lysT; lysW; valT; valZ; lysY	
782004	782004	782004	+	nadA; lysZ; lysQ	
782608	782608	782608	+	nadA; pnuC	
785461	785461	785461	-	aroG; zitB; ybgS	
785593	785593	785593	+	aroG; zitB; ybgS	
787669	787669	787669	-	gpmA	
792085	792085	792085	-	galE	
793813	793813	793813	-	modF	
794581	794581	794581	+	modF; modA; modE; acrZ	
794649	794649	794649	-	modA; modE; acrZ	
795063	795063	795063	+	modB; modA; modE; acrZ	
798284	798284	798284	+	ybhA; pgl	
798457	798457	798457	-	ybhA; pgl	
798556	798556	798556	+	ybhA; pgl	
807323	807323	807323	-	ybhB; ybhC	
807928	807928	807928	-	ybhB; ybhC	
809289	809289	809289	-	bioA; bioB	
809302	809302	809302	+	bioA; bioB	
816670	816670	816670	-	moaA; ybhK	
816915	816915	816915	+	moaA; ybhK	
819859	819859	819859	+	moaE; ybhL	
819874	819874	819874	+	moaE; ybhL	
820682	820682	820682	+	ybhL; ybhM	
821550	821550	821550	+	ybhM; ybhN	
824523	824523	824523	-	clsB; ybhP; ybhQ	
824602	824602	824602	+	ybhP; ybhQ	
830670	830670	830670	-	rhlE; cecR; ybhG	
830784	830784	830784	+	rhlE; cecR	
832629	832629	832629	-	dinG; ybiA	
833056	833056	833056	+	dinG; ybiA	
836319	836319	836319	+	hcxB	
838552	838552	838552	-	ybiI; ybiJ; ybiX	
842087	842087	842087	-	fiu; mcbA; rlmF	
842313	842313	842313	+	fiu; mcbA; rlmF	
848197	848197	848197	-	glnH; dps	
848950	848950	848950	-	dps	
850129	850129	850129	+	ompX; rhtA; yliM	
850213	850213	850213	+	ompX; rhtA; yliM	
850418	850418	850418	+	ompX; rhtA; yliM	
853046	853046	853046	-	mntS; rybA; opgE; yliL; mntR; ybiR	
853138	853138	853138	+	mntS; rybA; opgE; yliL; mntR; ybiR	
855799	855799	855799	-	ldtB; ybiT	
855934	855934	855934	+	ldtB; ybiT	
860464	860464	860464	-	ybiV; ybiW	
863615	863615	863615	+	ybiY; fsaA	
866455	866455	866455	-	moeA; iaaA	
866499	866499	866499	+	moeA; iaaA	
866534	866534	866534	+	moeA; iaaA	
878068	878068	878068	-	rimO; bssR; yliI	
878218	878218	878218	+	rimO; bssR; yliI	
878723	878723	878723	+	rimO; bssR; yliI	
880518	880518	880518	-	dacC; gstB	
880619	880619	880619	+	dacC; gstB	
880706	880706	880706	+	dacC; gstB	
883504	883504	883504	-	deoR; ybjG; mdfA	
883571	883571	883571	+	ybjG; mdfA	
887364	887364	887364	-	rybB; ybjJ; rcdA	
887402	887402	887402	+	rybB; ybjJ; rcdA	
888057	888057	888057	-	rybB; ybjJ; rcdA	
889953	889953	889953	+	ybjL; ybjM	
889992	889992	889992	-	grxA; ybjL; ybjM	
890779	890779	890779	-	grxA; nfsA; ybjC; ybjM	
890812	890812	890812	-	grxA; nfsA; ybjC; ybjM	
890893	890893	890893	+	grxA; nfsA; ybjC	
893637	893637	893637	+	potF; ybjN	
898495	898495	898495	+	ybjO; rlmC	
900625	900625	900625	-	artJ	
903842	903842	903842	-	artP; ybjP; ybjQ	
904518	904518	904518	+	artP; ybjP; ybjQ; amiD	
904521	904521	904521	-	artP; ybjP; ybjQ; amiD	
904560	904560	904560	+	ybjP; ybjQ; amiD	
911075	911075	911075	-	poxB	
914137	914137	914137	-	hcp; lysO	
914637	914637	914637	+	lysO	
914894	914894	914894	-	lysO	
916230	916230	916230	-	aqpZ; ybjD	
916232	916232	916232	+	aqpZ; ybjD	
918738	918738	918738	+	ybjX; macA	
918857	918857	918857	-	ybjX; macA	
919124	919124	919124	-	ybjX; macA	
922677	922677	922677	-	clpA; cspD; yljB; clpS	
922832	922832	922832	+	clpA; cspD; yljB; clpS	
923079	923079	923079	+	clpA; cspD; yljB; clpS	
926009	926009	926009	-	infA; serW	
926478	926478	926478	-	infA; serW	
926684	926684	926684	-	infA; aat; serW	
927886	927886	927886	-	cydC; aat	
930997	930997	930997	-	cydD	
932077	932077	932077	-	lrp; trxB	
932329	932329	932329	+	lrp; trxB	
939249	939249	939249	+	serS; rarA	
940888	940888	940888	+	dmsA	
945615	945615	945615	-	ycaC; ycaD	
945862	945862	945862	+	ycaC; ycaD	
946871	946871	946871	+	ycaD; ycaM	
949645	949645	949645	+	ycaK; ycaN	
949657	949657	949657	-	ycaK; ycaN	
951162	951162	951162	-	pflA	
954491	954491	954491	-	focA	
954502	954502	954502	-	focA	
956657	956657	956657	-	ycaO; ycaP	
956737	956737	956737	+	ycaO; ycaP	
957579	957579	957579	+	serC	
961081	961081	961081	+	cmk	
961164	961164	961164	+	cmk	
961719	961719	961719	+	rpsA; cmk	
961863	961863	961863	+	rpsA; cmk	
966596	966596	966596	+	msbA	
970645	970645	970645	+	kdsB; ycaR	
971728	971728	971728	+	ycbJ	
973479	973479	973479	-	elyC; cmoM	
973509	973509	973509	+	elyC; cmoM	
973897	973897	973897	+	mukF; elyC; cmoM	
980932	980932	980932	+	ldtD	
983022	983022	983022	+	mepK; gloC	
985743	985743	985743	-	aspC	
987091	987091	987091	-	ompF	
987276	987276	987276	+	ompF	
989043	989043	989043	-	asnS	
989143	989143	989143	-	asnS	
990413	990413	990413	-	pepN; pncB	
990516	990516	990516	+	pepN; pncB	
1000991	1000991	1000991	-	elfC	
1004739	1004739	1004739	+	pyrD; ycbF	
1005813	1005813	1005813	+	zapC	
1007321	1007321	1007321	+	ycbX; rlmL	
1007624	1007624	1007624	-	ycbX; rlmL	
1007673	1007673	1007673	+	ycbX; rlmL	
1015651	1015651	1015651	+	rmf; pqiC	
1016496	1016496	1016496	-	fabA; rmf	
1017349	1017349	1017349	-	ycbZ	
1017845	1017845	1017845	+	matP; ycbZ	
1018323	1018323	1018323	-	matP; ycbZ	
1018460	1018460	1018460	+	matP; ycbZ	
1020186	1020186	1020186	-	ompA; sulA	
1020302	1020302	1020302	+	ompA; sulA	
1020948	1020948	1020948	-	sulA; sxy	
1021084	1021084	1021084	+	sulA; sxy	
1024380	1024380	1024380	-	helD; yccS; yccF	
1024442	1024442	1024442	+	helD; yccS; yccF	
1027040	1027040	1027040	-	mgsA; csgI	
1027749	1027749	1027749	+	mgsA; csgI; yccU	
1027834	1027834	1027834	-	csgI; yccU	
1027928	1027928	1027928	+	csgI; yccU; hspQ	
1028865	1028865	1028865	-	hspQ; rlmI	
1029963	1029963	1029963	+	tusE; rlmI; yccX	
1029998	1029998	1029998	-	tusE; rlmI; yccX	
1030691	1030691	1030691	-	yccA; tusE; rlmI; yccX	
1031453	1031453	1031453	-	hyaA; yccA; tusE; serT	
1031717	1031717	1031717	-	hyaA; yccA; serT	
1050702	1050702	1050702	-	insB4; cspH; cspG	
1051306	1051306	1051306	+	ymcF; gnsA; cspH; cspG; ymcE	
1051947	1051947	1051947	+	ymcF; gnsA; cspH; cspG; ymcE	
1051996	1051996	1051996	+	ymcF; gnsA; cspG; ymcE	
1057983	1057983	1057983	-	torC; torR	
1063828	1063828	1063828	-	cbpA; yccE	
1063832	1063832	1063832	-	cbpA; yccE	
1065560	1065560	1065560	+	agp	
1067899	1067899	1067899	-	wrbA; ymdF; ycdF	
1068020	1068020	1068020	+	wrbA; ymdF; ycdF	
1074099	1074099	1074099	+	rutR; rutA	
1078921	1078921	1078921	-	putA; putP; ymdG	
1079170	1079170	1079170	+	putA; putP; ymdG	
1079212	1079212	1079212	+	putA; putP; ymdG	
1081298	1081298	1081298	+	efeU	
1084866	1084866	1084866	+	phoH	
1084910	1084910	1084910	+	phoH	
1084942	1084942	1084942	+	phoH	
1092841	1092841	1092841	+	pgaA; dgcT	
1097678	1097678	1097678	-	serX; ghrA	
1097759	1097759	1097759	+	serX; ghrA	
1103342	1103342	1103342	-	csgD; csgB	
1103927	1103927	1103927	+	csgA; csgD; csgB	
1104237	1104237	1104237	+	csgA; csgB; csgC	
1109122	1109122	1109122	-	opgG; opgC	
1109278	1109278	1109278	+	opgG; opgC	
1114212	1114212	1114212	-	msyB; yceK; b1052	
1116772	1116772	1116772	+	lpxL; trhO	
1120608	1120608	1120608	-	solA; bssS	
1121028	1121028	1121028	-	solA; bssS; dinI	
1121506	1121506	1121506	-	bssS; dinI	
1122644	1122644	1122644	-	pyrC; yceB	
1124080	1124080	1124080	-	grxB	
1125523	1125523	1125523	+	rimJ; yceH; mdtH	
1144728	1144728	1144728	-	rne; rluC; yceQ	
1144761	1144761	1144761	-	rne; rluC; yceQ	
1144841	1144841	1144841	+	rne; rluC; yceQ	
1144873	1144873	1144873	-	rne; rluC; yceQ	
1146591	1146591	1146591	+	rpmF; yceD; yceF; sraB	
1146650	1146650	1146650	+	rpmF; yceD; yceF; sraB	
1146700	1146700	1146700	-	rpmF; yceD; yceF; sraB	
1149108	1149108	1149108	-	fabH; fabD	
1151054	1151054	1151054	+	fabG; acpP	
1151577	1151577	1151577	+	fabF; acpP	
1153282	1153282	1153282	+	pabC	
1157251	1157251	1157251	+	ptsG; ycfH	
1157627	1157627	1157627	+	ptsG	
1157743	1157743	1157743	-	ptsG	
1157857	1157857	1157857	-	ptsG	
1161826	1161826	1161826	+	fhuE; hinT; ycfL	
1164945	1164945	1164945	+	nagZ; ycfP	
1166027	1166027	1166027	+	ndh	
1168861	1168861	1168861	-	bhsB; comR; bhsA	
1173991	1173991	1173991	-	mfd	
1175401	1175401	1175401	+	ycfT; lolC	
1178011	1178011	1178011	+	lolE; nagK	
1185660	1185660	1185660	-	potA; pepT	
1185739	1185739	1185739	+	potA; pepT	
1188265	1188265	1188265	-	roxA	
1190507	1190507	1190507	-	phoP; phoQ; asphoP	
1192687	1192687	1192687	-	purB; mnmA; hflD	
1193801	1193801	1193801	-	mnmA; nudJ	
1194927	1194927	1194927	-	icd; nudJ; rluE	
1194946	1194946	1194946	+	icd; nudJ; rluE	
1194962	1194962	1194962	+	icd; nudJ; rluE	
1195009	1195009	1195009	+	icd; nudJ; rluE	
1198277	1198277	1198277	-	lit; ymfD; ymfE	
1198669	1198669	1198669	+	lit; ymfE	
1201469	1201469	1201469	+	intE; xisE; ymfH; ymfI; ymfJ	
1202184	1202184	1202184	-	ymfI; ymfJ; ymfK	
1202960	1202960	1202960	-	ymfK; ymfT; ymfL	
1203821	1203821	1203821	-	oweE; aaaE; ymfT; ymfL; ymfM; ymfN	
1210330	1210330	1210330	+	mcrA; pinE; stfE	
1213281	1213281	1213281	-	ymgL; ycgX; bluR	
1214112	1214112	1214112	-	bluR	
1215287	1215287	1215287	-	bluF; ycgZ; ymgA	
1215753	1215753	1215753	+	bluF; ycgZ; ymgA; ariR	
1218875	1218875	1218875	-	ymgF; ycgH	
1223096	1223096	1223096	-	ycgI; ymgI; ymgJ; ymgD; ymgG	
1223266	1223266	1223266	+	ycgI; ymgI; ymgJ; ymgD; ymgG	
1226139	1226139	1226139	-	minC; minD; ycgJ	
1226389	1226389	1226389	-	minC; ycgJ	
1226454	1226454	1226454	+	minC; ycgJ	
1227505	1227505	1227505	-	ymgN; pliG; ycgL; ycgM	
1227523	1227523	1227523	+	ymgN; pliG; ycgL; ycgM	
1228798	1228798	1228798	+	ycgM; ycgN	
1230465	1230465	1230465	-	umuC; umuD; C0299; hlyE	
1230740	1230740	1230740	+	umuC; umuD; C0299; hlyE	
1233055	1233055	1233055	-	dsbB	
1234764	1234764	1234764	-	fadR; nhaB	
1234906	1234906	1234906	+	fadR; nhaB	
1237284	1237284	1237284	-	dadA; ycgB	
1237510	1237510	1237510	+	dadA; ycgB	
1243129	1243129	1243129	+	ldcA; emtA	
1244679	1244679	1244679	+	ycgR; ymgE; ycgY	
1247421	1247421	1247421	-	treA	
1250906	1250906	1250906	-	dhaK; dhaR	
1251007	1251007	1251007	+	dhaK; dhaR	
1258541	1258541	1258541	-	pth; ychF; ychH	
1258739	1258739	1258739	+	pth; ychH	
1262176	1262176	1262176	-	prs; ispE	
1263312	1263312	1263312	+	hemA; lolB; ispE	
1263525	1263525	1263525	-	hemA; lolB; ispE	
1263534	1263534	1263534	-	hemA; lolB; ispE	
1263676	1263676	1263676	+	hemA; lolB; ispE	
1267182	1267182	1267182	+	ychA; ychQ	
1271491	1271491	1271491	+	chaA; chaB	
1271895	1271895	1271895	-	chaA; chaB; chaC	
1272096	1272096	1272096	+	chaA; chaB; chaC	
1273748	1273748	1273748	+	ychN; ychO	
1273885	1273885	1273885	-	ychN; ychO	
1277853	1277853	1277853	-	narK; narX	
1287665	1287665	1287665	-	tpr; tyrT; tyrV; rttR	
1288754	1288754	1288754	-	purU; ychJ; rssA	
1289107	1289107	1289107	+	purU; ychJ; rssA	
1289176	1289176	1289176	-	purU; ychJ; rssA	
1290184	1290184	1290184	+	rssB	
1291305	1291305	1291305	+	galU	
1292957	1292957	1292957	-	hns; tdk	
1293494	1293494	1293494	+	hns; tdk	
1298412	1298412	1298412	-	adhE; ychE; ychT	
1298667	1298667	1298667	-	adhE; ychE; ychT	
1298791	1298791	1298791	-	adhE; ychE; insH21; ychT	
1299473	1299473	1299473	+	insH21	
1308671	1308671	1308671	-	clsA; yciY	
1308764	1308764	1308764	+	clsA; yciY	
1310348	1310348	1310348	-	tonB; kch; yciI	
1310891	1310891	1310891	-	tonB; kch; yciI	
1311058	1311058	1311058	+	tonB; kch; yciI	
1313697	1313697	1313697	-	yciC; ompW	
1313871	1313871	1313871	+	yciC; ompW	
1315427	1315427	1315427	-	yciE; yciF; yciG	
1316091	1316091	1316091	-	yciF; yciG	
1323189	1323189	1323189	+	trpE; trpL; rnm	
1323344	1323344	1323344	-	trpE; trpL; rnm; yciO	
1323766	1323766	1323766	+	trpL; rnm; yciO	
1326793	1326793	1326793	+	rluB	
1329226	1329226	1329226	-	sohB; yciK	
